|Catagorie|,|Date_In|,|Clerk_ID_In|,|TYPE_CODE|,|Product_scancode|,|Customer_No_Sold|,|P_Description|
|3|,|01/18/2004 12:00:00 AM|,|YNL|,2,|wd6516|,,|book|
|3|,|01/18/2004 12:00:00 AM|,|YNL|,2,|wd6512|,,|book|
|3|,|01/18/2004 12:00:00 AM|,|YNL|,2,|wd6508|,,|book|
|3|,|01/18/2004 12:00:00 AM|,|YNL|,2,|wd6504|,,|book|
|3|,|01/18/2004 12:00:00 AM|,|YNL|,2,|wd6500|,,|book|
|3|,|01/18/2004 12:00:00 AM|,|YNL|,2,|wd6551|,,|book|
|2|,|01/19/2004 12:00:00 AM|,|YNL|,2,|wd9|,,|toy,  puzzle or game|
|2|,|01/19/2004 12:00:00 AM|,|YNL|,2,|wd23|,,|toy,  puzzle or game|
|2|,|01/14/2004 12:00:00 AM|,|LEA|,2,|wd1050|,,|toy,  puzzle or game|
|1|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd264|,,|pants|
|1|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd256|,,|pants|
|1|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd284|,,|shirt|
|1|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd259|,,|shirt|
|1|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd307|,,|shirt|
|1|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd247|,,|shirt|
|3|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd243|,,|underwear  type onsie|
|3|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd465|,,|book|
|2|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd282|,,|toy,  puzzle or game|
|2|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd477|,,|toy,  puzzle or game|
|3|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd457|,,|genie refill|
|2|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd298|,,|toy,  puzzle or game|
|2|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd262|,,|toy,  puzzle or game|
|2|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd417|,,|toy,  puzzle or game|
|3|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd275|,,|head rest|
|3|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd429|,|3461|,|book|
|3|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd285|,,|playmat|
|2|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd428|,,|toy,  puzzle or game|
|3|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd415|,|600|,|bike helmet|
|2|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd351|,,|toy,  puzzle or game|
|2|,|01/14/2004 12:00:00 AM|,|KAY|,2,|wd437|,,|toy,  puzzle or game|
|2|,|01/15/2004 12:00:00 AM|,|DIA|,2,|wd5916|,,|toy,  puzzle or game|
|3|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd850|,,|blankets and linens|
|3|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd905|,,|blankets and linens|
|3|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd921|,,|blankets and linens|
|3|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd909|,|600|,|blankets and linens|
|1|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd819|,,|shirt|
|1|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd918|,,|shirt|
|1|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd832|,,|hat knit|
|1|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd823|,,|hat knit|
|3|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd856|,,|sox|
|3|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd867|,,|sox|
|3|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd863|,,|sox|
|1|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd882|,,|cotton one piece outfit or set|
|1|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd1404|,,|cotton one piece outfit or set|
|1|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd859|,,|pants|
|1|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd811|,,|cotton one piece outfit or set|
|1|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd822|,,|cotton one piece outfit or set|
|1|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd845|,|600|,|shirt|
|3|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd814|,,|underwear  type onsie|
|3|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd933|,,|underwear  type onsie|
|1|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd919|,,|shirt|
|1|,|01/13/2004 12:00:00 AM|,|DIA|,2,|wd806|,,|cotton one piece outfit or set|
|1|,|01/13/2004 12:00:00 AM|,|DIA|,2,|WD869|,,|shirt|
