|Index|,|Quanity|,|Quanity_sold_latest|,|Customer_No_product|,|Customer_No_Sold|,|Quick_Scancode|,|Product_scancode|,|TYPE_CODE|,|CONDITION_CODE|,|SIZE_CODE|,|NOTES|,|P_Description|,|Date_In|,|Date_sold|,|Clerk_ID_In|,|Clerk_ID_sold|,|void|,|Catagorie|,|Listprice|,|REDUCTION|,|Soldprice|,|Invoice#|,|Sale_price|,|Sale_item|,|No_Returned|,|Credit_Applied|
1975,238,2,|999|,|600|,|c13913c|,|cb|,1,|5|,|5|,|Kids Own Cotton Basics|,|Cotton Basics Shirts or Leggings|,|08/15/1999 12:00:00 AM|,|03/06/2000 12:00:00 AM|,|SUE|,|SUE|,0,|1|,7.9500,0,7.9500,|12459|,,0,0,0.0000
1976,143,1,|500|,|2612|,|c13913c|,|cbsh|,1,|5|,|5|,|Kids on 45th Own Cotton Basics|,|Cotton Basics Tops (Short Sleeve)|,|08/15/1999 12:00:00 AM|,|03/05/2000 12:00:00 AM|,|SUE|,|ANN|,0,|1|,6.9500,20,5.5600,|12427|,,0,0,0.0000
1983,3,1,|500|,|2680|,|c13913c|,|n0002|,1,|5|,|5|,,|Wipette Raincoat|,|08/15/1999 12:00:00 AM|,|01/03/2000 12:00:00 AM|,|LUD|,|ANN|,0,|1|,23.9500,20,19.1600,|8831|,,0,0,0.0000
1984,1,1,|500|,|600|,|c13913c|,|n0004|,1,|5|,|5|,,|Wipette Raincoat|,|08/15/1999 12:00:00 AM|,|01/25/2000 12:00:00 AM|,|LUD|,|KRI|,0,|1|,29.9500,0,29.9500,|10244|,,0,0,0.0000
1987,2,1,|500|,|600|,|c13913c|,|n0005|,1,|5|,|5|,,|Wipette Raincoat|,|08/15/1999 12:00:00 AM|,|12/20/1999 12:00:00 AM|,|LUD|,|LRN|,0,|1|,18.9500,0,18.9500,|8332|,,0,0,0.0000
1990,1885,2,|500|,|2956|,|c13913c|,|Mag1|,1,|5|,|5|,,|Letter Magnets|,|08/15/1999 12:00:00 AM|,|03/02/2000 12:00:00 AM|,|LUD|,|SUE|,0,|3|,1.9500,20,1.5600,|12274|,,0,0,0.0000
2024,48,1,|500|,|600|,|c13913c|,|POTTY1|,1,|5|,|5|,,|Bjorn basic potty|,|08/15/1999 12:00:00 AM|,|02/14/2000 12:00:00 AM|,|LUD|,|SUE|,0,|3|,9.9500,0,9.9500,|11355|,,0,0,0.0000
2036,50,0,|500|,|123|,|c13913c|,|POTTY2|,1,|4|,|5|,,|Bjorn large potty|,|08/15/1999 12:00:00 AM|,|12/18/1999 12:00:00 AM|,|LUD|,|KRI|,0,|3|,10.9500,0,10.9500,|0|,,0,0,0.0000
2570,26,1,|500|,|600|,|c13913c|,|p5541|,1,|4|,|5|,|NEW|,|LeTop Turtleneck clearance|,|08/19/1999 12:00:00 AM|,|02/18/2000 12:00:00 AM|,|YOS|,|BAK|,0,|1|,9.5000,50,4.7500,|11621|,|4.75|,1,0,0.0000
2952,8,0,|500|,,|c13913c|,|0730838143579|,1,|5|,|5|,,|6-71/2 SOCK MC TAN|,|08/20/1999 12:00:00 AM|,,|YOS|,,0,|1|,4.0000,0,0.0000,,,0,0,0.0000
2953,16,0,|500|,,|c13913c|,|0730838143586|,1,|4|,|5|,,|6-71/2 LT BLUE SOX MC or 5-61/2|,|08/20/1999 12:00:00 AM|,,|YOS|,,0,|1|,4.0000,0,0.0000,,,0,0,0.0000
2955,12,0,|500|,,|c13913c|,|0730838143593|,1,|4|,|5|,,|7-81/2 sox navy, ecru, lt blue|,|08/20/1999 12:00:00 AM|,,|YOS|,,0,|1|,4.5000,0,0.0000,,,0,0,0.0000
2958,12,0,|500|,,|c13913c|,|0730838143609|,1,|4|,|5|,,|mc sux 8-91/2|,|08/20/1999 12:00:00 AM|,,|YOS|,,0,|1|,4.5000,0,0.0000,,,0,0,0.0000
2974,75,1,|999|,|4020|,|c13913c|,|pNW009|,1,|4|,|5|,,|NEW|,|08/20/1999 12:00:00 AM|,|02/22/2000 12:00:00 AM|,|LUD|,|YOS|,0,|3|,16.9500,20,13.5600,|11768|,,0,0,0.0000
3224,54,1,|999|,|600|,|c13913c|,|pNW011|,1,|4|,|5|,,|tic tac toe cotton tights|,|08/21/1999 12:00:00 AM|,|02/29/2000 12:00:00 AM|,|LUD|,|ANE|,0,|1|,8.9500,0,8.9500,|12164|,,0,0,0.0000
3225,9831,1,|500|,|600|,|c13913c|,|pNW010|,1,|4|,|5|,,|tic tac toe print socks|,|08/21/1999 12:00:00 AM|,|03/04/2000 12:00:00 AM|,|LUD|,|ANE|,0,|1|,3.9500,0,3.9500,|12366|,,0,0,0.0000
3226,9930,1,|500|,|600|,|c13913c|,|pNW012|,1,|4|,|5|,,|tic tac toe plain socks|,|08/21/1999 12:00:00 AM|,|02/26/2000 12:00:00 AM|,|LUD|,|BAK|,0,|1|,3.5000,0,3.5000,|12003|,,0,0,0.0000
3227,943,1,|500|,|600|,|c13913c|,|pNW013|,1,|4|,|5|,,|new|,|08/21/1999 12:00:00 AM|,|02/21/2000 12:00:00 AM|,|LUD|,|LRN|,0,|1|,4.5000,0,4.5000,|11761|,,0,0,0.0000
3228,77,1,|500|,|4174|,|c13913c|,|pNW014|,1,|4|,|5|,,|Robeez|,|08/21/1999 12:00:00 AM|,|02/08/2000 12:00:00 AM|,|LUD|,|ANN|,0,|1|,21.9500,20,17.5600,|11045|,,0,0,0.0000
3229,119,1,|999|,|600|,|c13913c|,|pNW015|,1,|4|,|5|,,|NEW BOOTIE or BOOT|,|08/21/1999 12:00:00 AM|,|03/01/2000 12:00:00 AM|,|LUD|,|SUE|,0,|1|,9.9500,0,9.9500,|12192|,,0,0,0.0000
3230,70,1,|999|,|600|,|c13913c|,|pNW016|,1,|4|,|5|,,|Padders canvas sneaker|,|08/21/1999 12:00:00 AM|,|01/23/2000 12:00:00 AM|,|LUD|,|BAK|,0,|1|,10.5000,0,10.5000,|10114|,,0,0,0.0000
3231,77,1,|999|,|600|,|c13913c|,|pNW017|,1,|4|,|5|,,|Padders leather shoe|,|08/21/1999 12:00:00 AM|,|12/29/1999 12:00:00 AM|,|LUD|,|SUE|,0,|1|,16.9500,0,16.9500,|8665|,,0,0,0.0000
3232,46,1,|500|,|2186|,|c13913c|,|pNW018|,1,|4|,|5|,,|Fruit of the Loom briefs and panties|,|08/21/1999 12:00:00 AM|,|02/26/2000 12:00:00 AM|,|LUD|,|BAK|,0,|1|,7.9500,0,7.9500,|11974|,,0,0,0.0000
3233,75,1,|999|,|3261|,|c13913c|,|pNW019|,1,|4|,|5|,,|new|,|08/21/1999 12:00:00 AM|,|02/07/2000 12:00:00 AM|,|LUD|,|SUE|,0,|1|,16.5000,20,13.2000,|10962|,,0,0,0.0000
3240,20,1,|500|,|3448|,|c13913c|,|pNW020|,1,|4|,|5|,,|general|,|08/21/1999 12:00:00 AM|,|10/24/1999 12:00:00 AM|,|LUD|,|LUD|,0,|1|,4.0000,20,3.2000,|4894|,,0,0,0.0000
3278,77,1,|500|,|1609|,|c13913c|,|pNW021|,1,|4|,|5|,,|general|,|08/21/1999 12:00:00 AM|,|02/16/2000 12:00:00 AM|,|LUD|,|LEA|,0,|1|,10.9500,20,8.7600,|11468|,,0,0,0.0000
3279,23,1,|999|,|600|,|c13913c|,|pNW022|,1,|4|,|5|,,|sale new|,|08/21/1999 12:00:00 AM|,|02/19/2000 12:00:00 AM|,|LUD|,|ANE|,0,|1|,21.9500,50,10.9800,|11670|,|10.98|,1,0,0.0000
3280,988,0,|500|,|788|,|c13913c|,|pNW023|,1,|4|,|5|,,|tic tac toe 3pk socks, large|,|08/21/1999 12:00:00 AM|,|02/25/2000 12:00:00 AM|,|LUD|,|BAK|,0,|1|,7.9500,20,6.3600,|11946|,,0,0,0.0000
3298,18,2,|500|,|4041|,|c13913c|,|Pnw024|,1,|4|,|5|,,|PULL-ON DIAPER COVERS ASST SIZES COLORS|,|08/22/1999 12:00:00 AM|,|03/05/2000 12:00:00 AM|,|SUE|,|ANE|,0,|3|,3.9500,0,3.9500,|12449|,,0,0,0.0000
3299,47,1,|500|,|3039|,|c13913c|,|Pnw027|,1,|5|,|5|,,|DIAPER RAPS VELCRO DIAPER COVERS ASST SIZES|,|08/22/1999 12:00:00 AM|,|01/31/2000 12:00:00 AM|,|SUE|,|ANN|,0,|3|,7.9500,20,6.3600,|10598|,,0,0,0.0000
3300,24,1,|500|,|3100|,|c13913c|,|Pnw025|,1,|5|,|5|,,|NEW|,|08/22/1999 12:00:00 AM|,|01/27/2000 12:00:00 AM|,|SUE|,|KRI|,0,|1|,18.9500,20,15.1600,|10365|,,0,0,0.0000
3301,20,1,|500|,|2950|,|c13913c|,|Pnw026|,1,|4|,|5|,,|CHERRY TREE SCARFS|,|08/22/1999 12:00:00 AM|,|01/05/2000 12:00:00 AM|,|SUE|,|LRN|,0,|3|,12.9500,20,10.3600,|8969|,,0,0,0.0000
3324,63,1,|999|,|2904|,|c13913c|,|Pnw028|,1,|4|,|5|,,|NEW|,|08/22/1999 12:00:00 AM|,|03/03/2000 12:00:00 AM|,|SJH|,|SUE|,0,|1|,22.9500,20,18.3600,|12285|,,0,0,0.0000
3381,56,1,|999|,|600|,|c13913c|,|pNW029|,1,|4|,|5|,,|new|,|08/22/1999 12:00:00 AM|,|02/19/2000 12:00:00 AM|,|LUD|,|BAK|,0,|1|,13.5000,0,13.5000,|11643|,,0,0,0.0000
3382,29,3,|0|,|600|,|c13913c|,|pNW030|,1,|4|,|5|,,|Skivvy Doodles NG and PJ|,|08/22/1999 12:00:00 AM|,|02/08/2000 12:00:00 AM|,|LUD|,|SUE|,0,|1|,29.9500,0,29.9500,|11022|,,0,0,0.0000
3631,1,1,|500|,|4193|,|c13913c|,|pNW038|,2,|2|,|5|,,|red rhino shirt girls|,|08/23/1999 12:00:00 AM|,|01/31/2000 12:00:00 AM|,|SUE|,|ANN|,0,|1|,19.9500,0,19.9500,|10596|,,0,0,0.0000
3632,5,1,|500|,|600|,|c13913c|,|pNW039|,1,|4|,|5|,,| red rhino-Letop|,|08/23/1999 12:00:00 AM|,|09/26/1999 12:00:00 AM|,|SUE|,|SJH|,0,|1|,12.9500,0,12.9500,|2765|,,0,0,0.0000
3633,2,1,|500|,|600|,|c13913c|,|pNW037|,1,|4|,|5|,,|print leggings-red rhino|,|08/23/1999 12:00:00 AM|,|01/30/2000 12:00:00 AM|,|SUE|,|BAK|,0,|1|,16.9500,0,16.9500,|10543|,,0,0,0.0000
3635,1,1,|500|,|2342|,|c13913c|,|pNW035|,2,|2|,|5|,,|red rhino -dresses|,|08/23/1999 12:00:00 AM|,|02/11/2000 12:00:00 AM|,|SUE|,|LEA|,0,|1|,27.9500,0,27.9500,|11177|,,0,0,0.0000
3787,92,1,|999|,|2977|,|c13913c|,|pNW054|,1,|4|,|5|,,|Assorted Print T-necks Cotton Resource clearance|,|08/24/1999 12:00:00 AM|,|03/05/2000 12:00:00 AM|,|YOS|,|BAK|,0,|1|,11.5000,50,5.7500,|12414|,|5.75|,1,0,0.0000
3788,42,1,|500|,|600|,|c13913c|,|pNW053|,1,|4|,|5|,,|GENERAL|,|08/24/1999 12:00:00 AM|,|02/27/2000 12:00:00 AM|,|YOS|,|BAK|,0,|1|,11.9500,0,11.9500,|12041|,,0,0,0.0000
3789,18,1,|999|,|4041|,|c13913c|,|pNW052|,1,|4|,|5|,,|NEW|,|08/24/1999 12:00:00 AM|,|03/05/2000 12:00:00 AM|,|YOS|,|ANE|,0,|1|,19.9500,0,19.9500,|12449|,,0,0,0.0000
3826,2,1,|4256|,|600|,|c24324c|,|p5680|,2,|2|,|5|,,|onesies|,|08/24/1999 12:00:00 AM|,|08/28/1999 12:00:00 AM|,|SJH|,|MAR|,0,|1|,4.9500,0,4.9500,|849|,,0,0,0.0000
4533,9,1,|500|,|2932|,|c13913c|,|Pnw051|,1,|4|,|5|,,| NEW|,|08/26/1999 12:00:00 AM|,|03/04/2000 12:00:00 AM|,|YOS|,|ANE|,0,|1|,29.9500,20,23.9600,|12377|,,0,0,0.0000
4546,21,3,|999|,|4202|,|c13913c|,|pNW050|,1,|4|,|5|,,|NEW|,|08/26/1999 12:00:00 AM|,|03/05/2000 12:00:00 AM|,|YOS|,|ANE|,0,|5|,17.9500,20,14.3600,|12409|,,0,0,0.0000
4631,1000,0,|500|,,|c13913c|,|pNW056|,1,|4|,|5|,,|Kolcraft Umbrella Stroller|,|08/27/1999 12:00:00 AM|,,|LUD|,,0,|3|,21.9500,0,0.0000,,,0,0,0.0000
4732,83,1,|999|,|600|,|c13913c|,|pNW049|,1,|4|,|5|,,|GENERAL NEW|,|08/27/1999 12:00:00 AM|,|02/26/2000 12:00:00 AM|,|SUE|,|ANE|,0,|1|,39.9500,50,19.9800,|12001|,|19.98|,1,0,0.0000
4733,1,1,|999|,|2960|,|c13913c|,|pNW047|,1,|4|,|5|,,|NEW|,|08/27/1999 12:00:00 AM|,|02/16/2000 12:00:00 AM|,|SUE|,|LEA|,0,|1|,19.9500,20,15.9600,|11489|,,0,0,0.0000
4735,63,1,|999|,|4062|,|c13913c|,|pNW046|,1,|4|,|5|,,|NEW|,|08/27/1999 12:00:00 AM|,|02/29/2000 12:00:00 AM|,|SUE|,|LEA|,0,|1|,26.9500,20,21.5600,|12137|,,0,0,0.0000
4992,71,2,|999|,|600|,|c13913c|,|pNW044|,1,|4|,|5|,,|Cot'n Wrap|,|08/28/1999 12:00:00 AM|,|02/25/2000 12:00:00 AM|,|LUD|,|ANN|,0,|3|,11.9500,0,11.9500,|11941|,,0,0,0.0000
4993,88,1,|999|,|2343|,|c13913c|,|pNW043|,1,|4|,|5|,,|Lite Wrap or fruit of the loom underwear|,|08/28/1999 12:00:00 AM|,|02/08/2000 12:00:00 AM|,|LUD|,|KRI|,0,|3|,6.9500,20,5.5600,|11072|,,0,0,0.0000
4994,963,2,|999|,|600|,|c13913c|,|pNW042|,1,|4|,|5|,,|Snapi Wrap|,|08/28/1999 12:00:00 AM|,|02/29/2000 12:00:00 AM|,|LUD|,|LEA|,0,|3|,7.9500,0,7.9500,|12132|,,0,0,0.0000
4995,966,1,|999|,|600|,|c13913c|,|pNW041|,1,|4|,|5|,,|Roo! Bib|,|08/28/1999 12:00:00 AM|,|02/12/2000 12:00:00 AM|,|LUD|,|HIL|,0,|3|,4.9500,0,4.9500,|11251|,,0,0,0.0000
4996,88,1,|999|,|600|,|c13913c|,|pNW040|,1,|4|,|5|,,|misc.|,|08/28/1999 12:00:00 AM|,|03/04/2000 12:00:00 AM|,|LUD|,|BAK|,0,|3|,6.5000,0,6.5000,|12379|,,0,0,0.0000
5469,24,2,|2977|,|2091|,|c24674c|,|pNW060|,2,|2|,|5|,,| bks mags.|,|08/31/1999 12:00:00 AM|,|09/29/1999 12:00:00 AM|,|SUE|,|SJH|,0,|3|,0.2500,0,0.2500,|2939|,,0,0,0.0000
5686,1,0,|4261|,,|c14282c|,|c14282c|,2,|2|,|5|,,|battery or windup infant swing|,|09/01/1999 12:00:00 AM|,,|SJH|,,0,|3|,25.0000,0,0.0000,,,0,0,0.0000
5687,1,0,|4179|,,|c14287c|,|p8068|,2,|2|,|5|,,|pack|,|09/01/1999 12:00:00 AM|,,|SJH|,,0,|3|,8.0000,0,0.0000,,,0,0,0.0000
5689,1,0,|4272|,,|c24590c|,|p7894|,2,|2|,|5|,,|plain or print|,|09/01/1999 12:00:00 AM|,,|SJH|,,0,|1|,4.9500,0,0.0000,,,0,0,0.0000
5690,1,0,|4272|,,|c24590c|,|p7919|,2,|2|,|5|,,| dress print or plain|,|09/01/1999 12:00:00 AM|,,|SJH|,,0,|1|,5.9500,0,0.0000,,,0,0,0.0000
5693,1,0,|4272|,,|c24590c|,|p7920|,2,|2|,|5|,,|winter shirt|,|09/01/1999 12:00:00 AM|,,|SJH|,,0,|1|,3.9500,0,0.0000,,,0,0,0.0000
5696,1,0,|4272|,,|c24590c|,|p7928|,2,|2|,|5|,,|2 or 3 piece sets|,|09/01/1999 12:00:00 AM|,,|SJH|,,0,|1|,6.9500,0,0.0000,,,0,0,0.0000
5699,1,0,|4272|,,|c24590c|,|p7927|,2,|2|,|5|,,|2 or 3 piece sets|,|09/01/1999 12:00:00 AM|,,|SJH|,,0,|1|,5.9500,0,0.0000,,,0,0,0.0000
5700,1,0,|4272|,,|c24590c|,|p7936|,2,|2|,|5|,,|winter shirt|,|09/01/1999 12:00:00 AM|,,|SJH|,,0,|1|,3.9500,0,0.0000,,,0,0,0.0000
5704,1,0,|4272|,|600|,|c24590c|,|p7932|,2,|2|,|5|,,|2 or 3 piece sets|,|09/01/1999 12:00:00 AM|,|09/09/1999 12:00:00 AM|,|SJH|,|SUE|,0,|1|,6.9500,0,6.9500,|0|,,0,0,0.0000
5707,1,0,|4272|,,|c24590c|,|p7988|,2,|2|,|5|,,|summer weight jkt|,|09/01/1999 12:00:00 AM|,,|SJH|,,0,|1|,4.9500,0,0.0000,,,0,0,0.0000
5709,1,0,|4272|,,|c24590c|,|p7982|,2,|2|,|5|,,| dress print or plain|,|09/01/1999 12:00:00 AM|,,|SJH|,,0,|1|,5.9500,0,0.0000,,,0,0,0.0000
5721,1,0,|3438|,,|c14005c|,|P7922|,2,|2|,|5|,,|light weight hats|,|09/01/1999 12:00:00 AM|,,|SJH|,,0,|1|,1.9500,0,0.0000,,,0,0,0.0000
5737,1,0,|4268|,,|C24667C|,|P8020|,2,|2|,|5|,,| dress print or plain|,|09/01/1999 12:00:00 AM|,,|SJH|,,0,|1|,5.9500,0,0.0000,,,0,0,0.0000
5745,1,0,|4271|,,|c24584c|,|P7895|,2,|2|,|5|,,|non-clothing items|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|3|,1.9500,0,0.0000,,,0,0,0.0000
5753,1,0,|4271|,,|c24584c|,|P7991|,2,|2|,|5|,,|pullover, cardigan|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|1|,5.9500,0,0.0000,,,0,0,0.0000
5755,1,0,|4271|,,|c24584c|,|P8010|,2,|2|,|5|,,|denium or dress vest|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|1|,3.9500,0,0.0000,,,0,0,0.0000
5759,1,0,|4271|,,|c24584c|,|P7923|,2,|2|,|5|,,|pullover, cardigan|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|1|,5.9500,0,0.0000,,,0,0,0.0000
5768,1,0,|3303|,,|c24652c|,|P7959|,2,|3|,|3|,|good cond|,|large|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|3|,0.9500,0,0.0000,,,0,0,0.0000
5769,1,0,|3303|,,|c24652c|,|P7951|,2,|2|,|5|,,|softback|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|3|,0.5000,0,0.0000,,,0,0,0.0000
5775,1,0,|3303|,,|c24652c|,|P8032|,2,|2|,|5|,,|hard back childrens books|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|3|,0.7500,0,0.0000,,,0,0,0.0000
5778,1,0,|4271|,,|c24586c|,|P7954|,2,|2|,|5|,,| dress print or plain|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|1|,5.9500,0,0.0000,,,0,0,0.0000
5779,1,0,|4271|,,|c24586c|,|P8013|,2,|2|,|5|,,|shirt|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|1|,3.5000,0,0.0000,,,0,0,0.0000
5785,1,0,|4271|,,|c24586c|,|P7865|,2,|2|,|5|,,|LEOTARD|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|1|,4.9500,0,0.0000,,,0,0,0.0000
5792,1,0,|2995|,,|c24468c|,|P8091|,2,|2|,|5|,,|hard back childrens books|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|3|,1.9500,0,0.0000,,,0,0,0.0000
5799,1,0,|2995|,,|c24468c|,|P8090|,2,|2|,|5|,,|toy or set or game|,|09/01/1999 12:00:00 AM|,,|ANI|,,0,|2|,0.7500,0,0.0000,,,0,0,0.0000
5800,1,0,|2995|,,|c24468c|,|P8035|,2,|2|,|5|,,|toy or set or game|,|09/01/1999 12:00:00 AM|,,|ANI|,,0,|2|,1.9500,0,0.0000,,,0,0,0.0000
5808,1,0,|2695|,,|c13975c|,|P8189|,2,|2|,|5|,,|winter shirt|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|1|,4.5000,0,0.0000,,,0,0,0.0000
5809,1,0,|2695|,,|c13975c|,|P7947|,2,|2|,|5|,,|solid or print average swt sh|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|1|,3.9500,0,0.0000,,,0,0,0.0000
5810,1,0,|2695|,,|c13975c|,|P7948|,2,|2|,|5|,,|used booties, pre-walking shoes|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|1|,4.9500,0,0.0000,,,0,0,0.0000
5815,1,0,|788|,,|c24605c|,|P8067|,2,|2|,|5|,,|non-clothing items|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|3|,1.9500,0,0.0000,,,0,0,0.0000
5816,1,0,|788|,,|c24605c|,|P8039|,2,|2|,|5|,,|hard back childrens books|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|3|,0.9500,0,0.0000,,,0,0,0.0000
5817,1,0,|788|,,|c24605c|,|P8043|,2,|2|,|5|,,|softback|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|3|,0.7500,0,0.0000,,,0,0,0.0000
5818,1,0,|788|,,|c24605c|,|P8051|,2,|2|,|5|,,|softback|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|3|,0.7500,0,0.0000,,,0,0,0.0000
5819,1,0,|788|,,|c24605c|,|P8047|,2,|2|,|5|,,|softback|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|3|,0.7500,0,0.0000,,,0,0,0.0000
5820,1,0,|788|,,|c24605c|,|P8063|,2,|2|,|5|,,|softback|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|3|,0.7500,0,0.0000,,,0,0,0.0000
5821,1,0,|788|,,|c24605c|,|P7917|,2,|2|,|5|,,|non-clothing items|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|3|,2.9500,0,0.0000,,,0,0,0.0000
5822,1,0,|788|,,|c24605c|,|P8236|,2,|2|,|5|,,|non-clothing items|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|3|,2.9500,0,0.0000,,,0,0,0.0000
5828,1,0,|643|,,|c24484c|,|P8050|,2,|2|,|5|,,|toy or set or game|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|2|,1.9500,0,0.0000,,,0,0,0.0000
5835,1,0,|643|,,|c24484c|,|P8074|,2,|2|,|5|,,|toy or set or game|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|2|,5.9500,0,0.0000,,,0,0,0.0000
5836,1,0,|643|,,|c24484c|,|P8071|,2,|2|,|5|,,|toy or set or game|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|2|,5.9500,0,0.0000,,,0,0,0.0000
5837,10000,2,|999|,|2287|,|c14282c|,|0091258322754|,1,|4|,|5|,,|6-8 TIGHTS|,|09/01/1999 12:00:00 AM|,|09/16/1999 12:00:00 AM|,|SUE|,|SJH|,0,|1|,11.9500,20,9.5600,|2067|,,0,0,0.0000
5839,47,1,|999|,|3264|,|c14282c|,|0091258322501|,1,|4|,|5|,,|4-6 TIGHTS|,|09/01/1999 12:00:00 AM|,|11/16/1999 12:00:00 AM|,|SUE|,|SJH|,0,|1|,11.9500,20,9.5600,|6374|,,0,0,0.0000
5840,1,0,|999|,|2223|,|c14282c|,|0091258322518|,1,|4|,|5|,,|6-8 TIGHTS|,|09/01/1999 12:00:00 AM|,|09/28/1999 12:00:00 AM|,|SUE|,|SUE|,0,|1|,11.9500,20,9.5600,|0|,,0,0,0.0000
5841,1,1,|999|,|2478|,|c14282c|,|0091258322747|,1,|4|,|5|,,|4-6 RED TIGHTS|,|09/01/1999 12:00:00 AM|,|10/10/1999 12:00:00 AM|,|SUE|,|LUD|,0,|1|,11.9500,20,9.5600,|3807|,,0,0,0.0000
5842,12,1,|999|,|3169|,|c14282c|,|0091258322532|,1,|4|,|5|,,|10-12 TIGHTS|,|09/01/1999 12:00:00 AM|,|10/11/1999 12:00:00 AM|,|SUE|,|SUE|,0,|1|,11.9500,20,9.5600,|3862|,,0,0,0.0000
5843,12,1,|999|,|3416|,|c14282c|,|0091258229213|,1,|4|,|5|,,|WHITE TIGHTS 6-8|,|09/01/1999 12:00:00 AM|,|02/15/2000 12:00:00 AM|,|SUE|,|ANE|,0,|1|,8.9500,20,7.1600,|11417|,,0,0,0.0000
5844,3,1,|999|,|32|,|c14282c|,|0091258228797|,1,|4|,|5|,,|BLACK TIGHTS 4-6|,|09/01/1999 12:00:00 AM|,|01/09/2000 12:00:00 AM|,|SUE|,|NIC|,0,|1|,8.9500,20,7.1600,|9203|,,0,0,0.0000
5847,9,1,|999|,|600|,|c14282c|,|0091258235016|,1,|4|,|5|,,|PURPLE 6-8 TIGHTS|,|09/01/1999 12:00:00 AM|,|01/28/2000 12:00:00 AM|,|SUE|,|LEA|,0,|1|,8.9500,0,8.9500,|10376|,,0,0,0.0000
5848,2,1,|999|,|600|,|c14282c|,|0091258313592|,1,|4|,|5|,,|TIC TAC TOE|,|09/01/1999 12:00:00 AM|,|01/08/2000 12:00:00 AM|,|SUE|,|BAK|,0,|1|,4.5000,0,4.5000,|9160|,,0,0,0.0000
5849,2,1,|999|,|600|,|c14282c|,|0091258313608|,1,|4|,|5|,,|TIC TAC TOE SOCKS|,|09/01/1999 12:00:00 AM|,|09/30/1999 12:00:00 AM|,|SUE|,|LEA|,0,|1|,4.5000,0,4.5000,|3069|,,0,0,0.0000
5852,1,1,|999|,|600|,|c14282c|,|0091258313585|,1,|4|,|5|,,|TIC TAC TOE|,|09/01/1999 12:00:00 AM|,|01/28/2000 12:00:00 AM|,|SUE|,|ANN|,0,|1|,4.5000,0,4.5000,|10430|,,0,0,0.0000
5853,1,1,|999|,|600|,|c14282c|,|0091258313615|,1,|4|,|5|,,|TIC TAC TOE|,|09/01/1999 12:00:00 AM|,|09/25/1999 12:00:00 AM|,|SUE|,|MAR|,0,|1|,4.5000,0,4.5000,|2720|,,0,0,0.0000
5854,3,3,|999|,|600|,|c14282c|,|0091258313349|,2,|2|,|5|,,|TIC TAC TOE|,|09/01/1999 12:00:00 AM|,|12/03/1999 12:00:00 AM|,|SUE|,|ASH|,0,|1|,3.9500,0,3.9500,|7319|,,0,0,0.0000
5855,6,0,|999|,,|c14282c|,|0091258321245|,1,|4|,|5|,,|TIC TAC TOE FLAT KNITS OFF WHITE 10-12|,|09/01/1999 12:00:00 AM|,,|SUE|,,0,|1|,7.9500,0,0.0000,,,0,0,0.0000
5856,3,1,|999|,|838|,|c14282c|,|0091258321023|,1,|4|,|5|,,|CRICKET OFF WHITE 8-10 FLAT KNIT|,|09/01/1999 12:00:00 AM|,|02/18/2000 12:00:00 AM|,|SUE|,|ANN|,0,|1|,7.9500,20,6.3600,|11603|,,0,0,0.0000
5857,8,1,|999|,|4024|,|c14282c|,|0091258321207|,1,|4|,|5|,,|CRICKET OFF WHT. FLAT KNIT 2-4|,|09/01/1999 12:00:00 AM|,|02/26/2000 12:00:00 AM|,|SUE|,|BAK|,0,|1|,7.9500,20,6.3600,|11966|,,0,0,0.0000
5858,99,1,|999|,|4040|,|c14282c|,|0091258321009|,1,|4|,|5|,,|CRICKET FLT KNIT 4-6|,|09/01/1999 12:00:00 AM|,|01/26/2000 12:00:00 AM|,|SUE|,|SUE|,0,|1|,7.9500,20,6.3600,|10248|,,0,0,0.0000
