|Index|,|Quanity|,|Quanity_sold_latest|,|Customer_No_product|,|Customer_No_Sold|,|Quick_Scancode|,|Product_scancode|,|TYPE_CODE|,|CONDITION_CODE|,|SIZE_CODE|,|NOTES|,|P_Description|,|Date_In|,|Date_sold|,|Clerk_ID_In|,|Clerk_ID_sold|,|void|,|Catagorie|,|Listprice|,|REDUCTION|,|Soldprice|,|Invoice#|,|Sale_price|,|Sale_item|,|No_Returned|,|Credit_Applied|
38391,0,1,|3313|,|3231|,|c27945c|,|p45086|,2,|2|,|5|,,|non-clothing items|,|02/05/2000 12:00:00 AM|,|02/18/2000 12:00:00 AM|,|SUE|,|ANN|,0,|3|,0.9500,0,0.9500,|11604|,,0,0,0.0000
38392,1,0,|3313|,,|c27945c|,|p45947|,2,|2|,|5|,,|toy or set or game|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|2|,0.5000,0,0.0000,,,0,0,0.0000
38393,1,0,|3313|,,|c27945c|,|p45833|,2,|2|,|5|,,|toy or set or game|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|2|,1.9500,0,0.0000,,,0,0,0.0000
38394,1,0,|3313|,,|c27945c|,|p45858|,2,|2|,|5|,,|non-clothing items|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|3|,0.9500,0,0.0000,,,0,0,0.0000
38395,0,1,|3313|,|600|,|c27945c|,|p45063|,2,|2|,|5|,,|toy or set or game|,|02/05/2000 12:00:00 AM|,|02/09/2000 12:00:00 AM|,|SUE|,|SUE|,0,|2|,1.9500,0,1.9500,|11076|,,0,0,0.0000
38396,0,1,|3313|,|600|,|c27945c|,|p45171|,2,|2|,|5|,,|non-clothing items|,|02/05/2000 12:00:00 AM|,|02/11/2000 12:00:00 AM|,|SUE|,|BAK|,0,|3|,0.9500,0,0.9500,|11201|,,0,0,0.0000
38397,0,1,|3313|,|600|,|c27945c|,|p45854|,2,|2|,|5|,,|non-clothing items|,|02/05/2000 12:00:00 AM|,|02/12/2000 12:00:00 AM|,|SUE|,|HIL|,0,|3|,0.5000,0,0.5000,|11257|,,0,0,0.0000
38398,1,0,|3313|,,|c27945c|,|p45082|,2,|2|,|5|,,|hard back childrens books|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|3|,2.9500,0,0.0000,,,0,0,0.0000
38399,1,0,|3313|,,|c27945c|,|p45090|,2,|2|,|5|,,|non-clothing items|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|3|,0.5000,0,0.0000,,,0,0,0.0000
38400,1,0,|3313|,,|c27945c|,|p45079|,2,|2|,|5|,,|non-clothing items|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|3|,0.9500,0,0.0000,,,0,0,0.0000
38401,0,1,|3313|,|600|,|c27945c|,|p45139|,2,|2|,|5|,,|toy or set or game|,|02/05/2000 12:00:00 AM|,|02/08/2000 12:00:00 AM|,|SUE|,|SUE|,0,|2|,2.5000,0,2.5000,|11025|,,0,0,0.0000
38402,0,1,|3313|,|600|,|c27945c|,|p45821|,2,|2|,|5|,,|non-clothing items|,|02/05/2000 12:00:00 AM|,|02/19/2000 12:00:00 AM|,|SUE|,|BAK|,0,|3|,2.5000,0,2.5000,|11658|,,0,0,0.0000
38403,0,1,|3313|,|600|,|c27945c|,|p45075|,2,|2|,|5|,,|video or audio tape|,|02/05/2000 12:00:00 AM|,|02/07/2000 12:00:00 AM|,|SUE|,|SUE|,0,|3|,0.9500,0,0.9500,|10959|,,0,0,0.0000
38404,0,1,|3313|,|2584|,|c27945c|,|p45067|,2,|2|,|5|,,|non-clothing items|,|02/05/2000 12:00:00 AM|,|02/05/2000 12:00:00 AM|,|SUE|,|BAK|,0,|3|,0.2500,0,0.2500,|10885|,,0,0,0.0000
38405,0,1,|2799|,|600|,|c26803c|,|p157|,2,|2|,|5|,,|solid or print average swt sh|,|02/05/2000 12:00:00 AM|,|03/04/2000 12:00:00 AM|,|SUE|,|ANE|,0,|1|,4.9500,0,4.9500,|12380|,,0,0,0.0000
38406,1,0,|2799|,,|c26803c|,|p46443|,2,|2|,|5|,,|winter shirt|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,3.9500,0,0.0000,,,0,0,0.0000
38407,1,0,|3282|,,|c26636c|,|p45135|,2,|2|,|5|,,|softback|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|3|,0.5000,0,0.0000,,,0,0,0.0000
38408,1,0,|3282|,,|c26636c|,|p45793|,2,|2|,|5|,,|summer weight jkt|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|5|,7.9500,0,0.0000,,,0,0,0.0000
38409,1,0,|3282|,,|c26636c|,|p46470|,2,|2|,|2|,|hat|,|hat|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,1.9500,0,0.0000,,,0,0,0.0000
38410,0,1,|3282|,|2915|,|c26636c|,|p45810|,2,|2|,|5|,,| dress print or plain|,|02/05/2000 12:00:00 AM|,|02/15/2000 12:00:00 AM|,|SUE|,|SUE|,0,|1|,5.9500,0,5.9500,|11402|,,0,0,0.0000
38411,1,0,|3282|,,|c26636c|,|p46466|,2,|2|,|5|,,|pullover, cardigan|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,5.9500,0,0.0000,,,0,0,0.0000
38412,0,1,|3282|,|1985|,|c26636c|,|p45806|,2,|2|,|5|,,|winter shirt|,|02/05/2000 12:00:00 AM|,|02/09/2000 12:00:00 AM|,|SUE|,|KRI|,0,|1|,3.9500,0,3.9500,|11108|,,0,0,0.0000
38413,1,0,|4049|,,|c26737c|,|p45036|,2,|2|,|5|,,|winter shirt|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,2.9500,0,0.0000,,,0,0,0.0000
38414,0,1,|4049|,|600|,|c26737c|,|p45028|,2,|2|,|5|,,|cotton sets and sleepers|,|02/05/2000 12:00:00 AM|,|02/15/2000 12:00:00 AM|,|SUE|,|LRN|,0,|1|,2.9500,0,2.9500,|11416|,,0,0,0.0000
38415,1,0,|4049|,,|c26737c|,|p45808|,2,|2|,|5|,,|underwear  type|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,1.9500,0,0.0000,,,0,0,0.0000
38416,1,0,|4049|,,|c26737c|,|p45826|,2,|2|,|5|,,|winter shirt|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,3.9500,0,0.0000,,,0,0,0.0000
38417,0,1,|4049|,|600|,|c26737c|,|p45830|,2,|2|,|5|,,|pullover, cardigan|,|02/05/2000 12:00:00 AM|,|02/07/2000 12:00:00 AM|,|SUE|,|SUE|,0,|1|,4.9500,0,4.9500,|10958|,,0,0,0.0000
38418,0,1,|4049|,|600|,|c26737c|,|p45839|,2,|2|,|5|,,|pullover, cardigan|,|02/05/2000 12:00:00 AM|,|02/16/2000 12:00:00 AM|,|SUE|,|SUE|,0,|1|,5.9500,0,5.9500,|11465|,,0,0,0.0000
38419,0,1,|4049|,|600|,|c26737c|,|p45845|,2,|2|,|5|,,|plain or print|,|02/05/2000 12:00:00 AM|,|02/12/2000 12:00:00 AM|,|SUE|,|HIL|,0,|1|,4.9500,0,4.9500,|11251|,,0,0,0.0000
38420,0,1,|4049|,|4276|,|c26737c|,|p45843|,2,|2|,|5|,|pants|,|pants|,|02/05/2000 12:00:00 AM|,|02/10/2000 12:00:00 AM|,|SUE|,|LEA|,0,|1|,3.9500,0,3.9500,|11149|,,0,0,0.0000
38421,1,0,|4049|,,|c26737c|,|p45827|,2,|2|,|5|,,|winter shirt|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,2.9500,0,0.0000,,,0,0,0.0000
38422,0,1,|4049|,|600|,|c26737c|,|p45817|,2,|2|,|5|,,|long sleeve lomg legs cotton or other|,|02/05/2000 12:00:00 AM|,|02/08/2000 12:00:00 AM|,|SUE|,|KRI|,0,|1|,3.9500,0,3.9500,|11054|,,0,0,0.0000
38423,1,0,|4049|,,|c26737c|,|p45032|,2,|2|,|5|,|blankets|,|blankets and linens|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|3|,0.9500,0,0.0000,,,0,0,0.0000
38424,1,0,|4049|,,|c26737c|,|p46462|,2,|2|,|5|,|blankets|,|blankets and linens|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|3|,0.9500,0,0.0000,,,0,0,0.0000
38425,1,0,|3040|,,|c26637c|,|p46199|,2,|2|,|5|,,|plain or print|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,3.9500,0,0.0000,,,0,0,0.0000
38426,1,0,|3040|,,|c26637c|,|p46233|,2,|2|,|5|,,|long sleeve lomg legs cotton or other|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,4.9500,0,0.0000,,,0,0,0.0000
38427,0,1,|1472|,|1985|,|c26535c|,|p45944|,2,|2|,|5|,,|print or plain skirts|,|02/05/2000 12:00:00 AM|,|02/09/2000 12:00:00 AM|,|SUE|,|KRI|,0,|1|,4.9500,0,4.9500,|11108|,,0,0,0.0000
38428,0,1,|1472|,|600|,|c26535c|,|p45951|,2,|2|,|5|,,|heavy weight jkt.|,|02/05/2000 12:00:00 AM|,|03/05/2000 12:00:00 AM|,|SUE|,|ANE|,0,|5|,6.9500,0,6.9500,|12451|,,0,0,0.0000
38429,1,0,|1472|,,|c26535c|,|p45956|,2,|2|,|5|,,|unlined rain jacket|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|5|,4.9500,0,0.0000,,,0,0,0.0000
38430,1,0,|2968|,,|c26547c|,|p46519|,2,|2|,|5|,,|winter shirt|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,3.9500,0,0.0000,,,0,0,0.0000
38431,0,1,|2968|,|4322|,|c26547c|,|p46506|,2,|2|,|5|,,|2 or 3 piece sets|,|02/05/2000 12:00:00 AM|,|03/01/2000 12:00:00 AM|,|SUE|,|SUE|,0,|1|,6.9500,0,6.9500,|12179|,,0,0,0.0000
38432,1,0,|2968|,,|c26547c|,|p46531|,2,|2|,|5|,,|solid or print average swt sh|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,3.9500,0,0.0000,,,0,0,0.0000
38433,1,0,|2968|,,|c26547c|,|p45044|,2,|2|,|5|,|pants|,|pants|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,4.9500,0,0.0000,,,0,0,0.0000
38435,-1,1,|2617|,|2479|,|c26698c|,|p46492|,2,|2|,|5|,,|cotton sets and sleepers|,|02/05/2000 12:00:00 AM|,|02/20/2000 12:00:00 AM|,|SUE|,|ANE|,0,|1|,3.9500,0,3.9500,|11707|,,0,0,0.0000
38436,0,1,|2617|,|4173|,|c26698c|,|p45898|,2,|2|,|5|,,|cotton sets and sleepers|,|02/05/2000 12:00:00 AM|,|02/24/2000 12:00:00 AM|,|SUE|,|KRI|,0,|1|,3.9500,0,3.9500,|11902|,,0,0,0.0000
38437,0,1,|2617|,|2956|,|c26698c|,|p45890|,2,|2|,|5|,,|winter shirt|,|02/05/2000 12:00:00 AM|,|03/02/2000 12:00:00 AM|,|SUE|,|SUE|,0,|1|,3.9500,0,3.9500,|12273|,,0,0,0.0000
38438,0,1,|2923|,|600|,|c26767c|,|p45136|,2,|2|,|5|,,|non-clothing items|,|02/05/2000 12:00:00 AM|,|02/14/2000 12:00:00 AM|,|SUE|,|ANN|,0,|3|,1.5000,0,1.5000,|11369|,,0,0,0.0000
