"category","date_in","date_in_posix","clerk_id_in","type_code","product_scancode","customer_no_sold","p_description"
2,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd1050",NA,"toy,  puzzle or game"
1,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd264",NA,"pants"
1,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd256",NA,"pants"
1,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd284",NA,"shirt"
1,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd259",NA,"shirt"
1,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd307",NA,"shirt"
1,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd247",NA,"shirt"
3,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd243",NA,"underwear  type onsie"
3,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd465",NA,"book"
2,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd282",NA,"toy,  puzzle or game"
2,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd477",NA,"toy,  puzzle or game"
3,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd457",NA,"genie refill"
2,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd298",NA,"toy,  puzzle or game"
2,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd262",NA,"toy,  puzzle or game"
2,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd417",NA,"toy,  puzzle or game"
3,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd275",NA,"head rest"
3,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd429",3461,"book"
3,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd285",NA,"playmat"
2,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd428",NA,"toy,  puzzle or game"
3,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd415",600,"bike helmet"
