|Index|,|Preset_Name|,|TYPE_CODE|,|CONDITION_CODE|,|SIZE_CODE|,|NOTES|,|P_Description|,|Catagorie|,|Listprice|
81,|CAKEWALK|,2,|2|,|5|,,|CAKEWALK|,|1|,9.9900
82,|HANNA ANDERSON|,2,|2|,|5|,,|HANNA ANDERSON|,|1|,6.9900
83,|ELEFANTEN|,2,|2|,|5|,,|ELEFANTEN SHOES|,|3|,8.9900
84,|big bellies bibs|,1,|2|,|5|,,|big bellies bibs|,|3|,11.9500
85,|diaper rash cream|,1,|2|,|5|,,|california baby diaper rash cream|,|3|,11.9900
86,|50%  off sale|,1,|2|,|5|,,|Sale 50 % off|,|3|,4.9900
87,|diaper all in one|,2,|2|,|5|,,|diaper all in one|,|3|,7.9900
88,|tic tac toe|,1,|2|,|5|,,|tic tac toe socks|,|3|,4.5000
89,|painting red rhino|,1,|2|,|5|,,|painting red rhino fall|,|1|,38.9500
90,|TIC TAC TOE|,1,|2|,|5|,,|TIC TAC TOE|,|3|,3.5000
91,|Laarni #538|,1,|2|,|5|,,|Laarni  booties|,|3|,11.9500
92,|skivvy doodle fall|,1,|2|,|5|,,|new style  fall|,|3|,29.9500
93,|SKIVVY|,1,|2|,|5|,,|LONG SLEEVE GOWN|,|3|,29.9500
94,|hat|,2,|2|,|5|,,|hat|,|5|,1.9900
95,|zutano|,1,|2|,|5|,,|zutano|,|3|,21.9500
96,|MP TIGHTS|,1,|2|,|5|,,|MP TIGHTS|,|3|,19.9500
97,|cd rom|,2,|2|,|5|,,|cd rom|,|3|,1.9900
98,|purse|,1,|2|,|5|,,|beaded purse|,|3|,8.9500
99,|velor hat|,1,|2|,|5|,,|velour hats|,|3|,14.9500
100,|HAT|,1,|2|,|5|,,|LAARNI HATS|,|5|,16.0000
101,|underoos|,1,|2|,|5|,,|fruit of the loom underoos|,|3|,6.9500
102,,1,|2|,|5|,,|Bubble Fun|,|3|,29.9900
103,|Rich Frog|,1,|2|,|5|,,|Rich Frog|,|3|,7.5000
104,,1,|2|,|5|,,|BURT'S BEES|,|3|,9.9500
105,|baby legs|,1,|2|,|5|,,|Baby legs|,|3|,8.9900
106,|eeboo|,1,|2|,|5|,,|eeboo|,|3|,4.9900
107,|Dishes|,2,|2|,|5|,,|Dishes|,|3|,1.9900
108,|lime apple|,1,|2|,|5|,,|Limeapple|,|5|,49.9900
109,,1,|2|,|5|,,,,
110,|sale|,1,|2|,|5|,,|50% off|,|1|,4.9500
111,|sale|,1,|2|,|5|,|sale|,|sale winter 2003|,|1|,4.9500
112,|Belts|,2,|2|,|5|,,|belts|,|3|,0.9900
113,,2,|2|,|5|,,|summer sale 70% off|,|1|,9.9500
114,,1,|2|,|5|,,|l'amour sandals|,|3|,15.9500
115,|burp cloths|,2,|2|,|5|,,,|3|,0.5000
116,|burp cloth|,2,|2|,|5|,,|burp cloth|,|3|,0.5000
117,|Wayi|,1,|2|,|5|,,|Wayi|,|3|,24.9900
118,|pattern|,2,|2|,|5|,,|costume pattern|,|3|,0.9500
119,,1,|2|,|5|,,|K. C. Parker|,|1|,46.0000
120,,1,|2|,|5|,,|NEW ITEM 2007________________________|,|3|,1.9500
121,|NEW 2007|,1,|2|,|5|,,|NEW ITEM 2007___________________________|,|3|,0.9500
122,| CLEARANCE|,1,|2|,|5|,,|CLEARANCE 70% 0FF|,|5|,3.9500
123,,1,|2|,|5|,,|sale 50% off|,|3|,4.9500
124,|roo bibs|,1,|2|,|5|,,|roo bibs|,|3|,4.9900
125,|bottles, cups, etc.|,2,|2|,|5|,,|bottles, cups, spoons, bowls, etc.|,|3|,1.9900
126,|Melissa & Doug|,1,|2|,|5|,,|Melissa & Doug|,|3|,1.9900
127,|Melissa & Doug|,1,|2|,|5|,,|Melissa & Doug|,|3|,1.9900
128,,1,|2|,|5|,,|new Item 2007-2008____________________|,|3|,29.9500
129,,2,|2|,|5|,,,,0.0000
130,|California Baby|,1,|2|,|5|,,|California Baby|,|3|,9.9900
131,|hat|,2,|2|,|5|,,|hat|,|1|,1.9500
132,|hat|,1,|2|,|5|,,|hat|,|1|,12.9900
133,|Burt's Bees|,1,|2|,|5|,,|Burt's|,|3|,2.9900
134,|Burt's Bees Organics|,1,|4|,|5|,,|Burt's Bees Organic Cottons|,|1|,11.9900
135,|monkeyroos|,1,|2|,|5|,,|Monkeyroos|,|3|,2.9900
136,,1,|2|,|5|,,|Clearance Sale|,|3|,2.4900
137,|Sale|,3,|2|,|5|,,|sale 50% 0ff|,|3|,4.9900
138,,1,|2|,|5|,,|Classroom Lullabies and Nursery Rhymes|,|3|,10.0000
139,|new cd|,1,|2|,|5|,,|Classroom  Lullabies & Nusery Rhymes|,|3|,10.0000
140,|new cd|,1,|2|,|5|,,|Classroom Lullabies and Nursery Rymes|,|3|,10.0000
141,|sunglasses/ goggles|,2,|2|,|5|,,|sunglasses/ goggles|,,1.9900
142,|soxpenders|,1,|2|,|5|,,|soxpenders|,,6.9900
143,|Mary Meyer|,1,|2|,|5|,,|Mary Meyer|,|3|,11.9900
144,|limeapple|,1,|2|,|5|,,|limeapple|,|3|,29.9900
145,|Rich Frog|,1,|2|,|5|,,|Rich Frog|,|3|,6.9900
146,|Columbia|,1,|4|,|5|,,|New Columbia|,|5|,36.0000
147,|ergo|,1,|2|,|5|,,|Ergo products|,|3|,24.9900
148,|aden+anais|,1,|4|,|5|,,|aden+anais|,,21.9900
149,|huggalugs|,1,|2|,|5|,,|huggalugs|,|3|,11.9900
150,|sugar booger|,1,|2|,|5|,,|Sugar Booger|,|3|,14.9900
151,|Western Chief|,1,|2|,|5|,|Western Chief Boots|,|Western Chief Boots|,|5|,22.9900
152,|Prince lionheart|,1,|2|,|5|,,|Prince Lionheart|,|3|,24.9900
153,|Melissa and doug|,1,|2|,|5|,,|Melissa and Doug|,|5|,12.9900
154,|Under the Nil|,2,|2|,|5|,,,,0.0000
155,|Under the Nile|,1,|4|,|5|,|Under the Nile|,|Under the Nile|,|3|,28.9900
156,|Kamik|,1,|2|,|5|,|Kamik Boots|,|Kamik Boots|,,34.9900
157,|I Play|,1,|2|,|5|,,|I Play|,|3|,7.9900
158,|angel dear|,1,|2|,|5|,,|angel dear|,|3|,11.9900
159,|Lite Wrap|,1,|4|,|5|,|Lite Wrap|,|Lite Wrap|,|3|,8.5000
